organism,phRange,phRangeMaximum,phStabilityMaximum,phStability,phOptimum,phOptimumMaximum,reputation_ph,temperatureRangeMaximum,temperatureRange,temperatureStabilityMaximum,temperatureStability,temperatureOptimumMaximum,temperatureOptimum,reputation_tem,sum_reputation
Limosilactobacillus reuteri,5.925,8.7,6.5,6.125,7.0,7.75,58.0,58.75,26.25,,34.25,,49.166666666666664,82.0,140.0
Saccharolobus solfataricus,4.25,7.875,,5.0,6.0,,75.0,93.75,62.5,,82.61904761904762,,85.0,49.0,124.0
Aspergillus oryzae,2.75,6.25,7.75,4.581818181818182,4.507692307692308,6.075,78.0,60.0,20.0,,55.18181818181818,55.0,45.3,13.0,91.0
Pantoea agglomerans,,,,,7.5,8.0,41.0,,,,,40.0,37.0,41.0,82.0
Lactobacillus acidophilus,,,,,6.625,7.4,0.0,,,,37.0,,49.0,76.0,76.0
Thermotoga maritima,,,,,6.5,,49.0,,,,86.66666666666667,85.0,81.66666666666667,8.0,57.0
Lactiplantibacillus plantarum WCFS1,,,8.0,6.5,7.25,,28.0,,,,,,57.5,28.0,56.0
Thermus sp.,,,7.7,4.857142857142857,6.385714285714286,,55.0,,,90.0,79.6875,,59.0,0.0,55.0
Alicyclobacillus acidocaldarius,,,,,5.666666666666667,6.5,0.0,85.0,35.0,,68.75,70.0,66.0,55.0,55.0
Bifidobacterium longum subsp. infantis,,,8.5,5.0,7.5,,54.0,,,,55.0,60.0,53.333333333333336,0.0,54.0
Sterigmatomyces elviae,,,7.0,2.5,4.5,5.0,0.0,,,,80.0,,85.0,54.0,54.0
Pseudoalteromonas haloplanktis,,,10.0,6.5,8.5,,48.0,48.0,28.0,,49.0,,48.0,0.0,48.0
Aspergillus niger,,,7.4,3.38,3.6,4.083333333333333,27.0,75.0,50.0,80.0,49.44444444444444,62.5,55.0,14.0,41.0
Halorubrum lacusprofundi,6.0,7.5,,,6.5,,40.0,60.0,19.5,,,,50.0,0.0,40.0
Lactiplantibacillus pentosus,,,,,7.75,,19.0,65.0,60.0,,,,55.0,19.0,38.0
Priestia megaterium,6.0,9.0,9.0,6.0,7.1000000000000005,8.25,25.0,,,,48.333333333333336,,41.833333333333336,12.0,37.0
Irpex lacteus,,,7.5,3.5,4.6,,34.0,,,,54.0,,,0.0,34.0
Arthrobacter sp.,5.833333333333333,8.833333333333334,7.75,5.5,6.833333333333333,8.0,20.0,31.666666666666668,0.0,36.666666666666664,28.666666666666668,20.0,23.666666666666668,12.0,32.0
Haloferax lucentense,,,,,7.2,,31.0,,,,22.0,,22.0,0.0,31.0
Kluyveromyces lactis,5.5,8.5,7.5,6.5,6.959999999999999,7.0,19.0,,,,40.0,37.5,33.1,10.0,29.0
Planococcus sp. (in: Bacteria),,,,,6.5,,23.0,56.0,24.0,,48.333333333333336,,42.0,0.0,23.0
Bispora sp.,0.5,8.0,12.0,0.5,1.5,,21.0,80.0,37.0,70.0,60.0,,60.0,0.0,21.0
Arthrobacter psychrolactophilus,7.0,9.0,10.0,6.0,8.0,,20.0,10.0,0.0,,36.666666666666664,,10.0,0.0,20.0
Planococcus sp. L4,,,,,6.5,,10.0,,,,55.0,,55.0,10.0,20.0
Raphanus sativus,,,8.5,3.5,4.0,,0.0,,,,47.5,,,19.0,19.0
Geobacillus stearothermophilus,6.25,7.5,,,6.6499999999999995,6.4,0.0,70.0,65.0,,62.72727272727273,,67.85714285714286,16.0,16.0
Tausonia pullulans,3.0,7.0,,7.5,4.0,,15.0,60.0,20.0,,35.0,,50.0,0.0,15.0
Pyrococcus furiosus,6.5,7.5,,,7.0,,0.0,100.0,60.0,,86.66666666666667,,90.0,14.0,14.0
Caldicellulosiruptor saccharolyticus,5.0,7.0,,,6.0,,0.0,85.0,65.0,75.0,67.5,,80.0,13.0,13.0
Lactobacillus crispatus,4.0,9.0,7.0,6.0,6.5,,12.0,60.0,20.0,,45.0,,45.0,0.0,12.0
Triticum aestivum,,,,,4.15,4.3,10.0,,,,,,,,10.0
